Year,Winner,Score,Loser,Goals
2018,Russia ,5–0, Saudi Arabia,"  Gazinsky  12' Cheryshev  43', 90+1' Dzyuba  71' Golovin  90+4'    "
2018,Egypt ,0–1, Uruguay,     Giménez  89' 
2018,Russia ,3–1, Egypt,  Fathy  47' (o.g.) Cheryshev  59' Dzyuba  62'    Salah  73' (pen.) 
2018,Uruguay ,1–0, Saudi Arabia,  Suárez  23'    
2018,Uruguay ,3–0, Russia,  Suárez  10' Cheryshev  23' (o.g.) Cavani  90'    
2018,Saudi Arabia ,2–1, Egypt,  Al-Faraj  45+6' (pen.) Al-Dawsari  90+5'    Salah  22' 
2018,Morocco ,0–1, Iran,     Bouhaddouz  90+5' (o.g.) 
2018,Portugal ,3–3, Spain,"  Ronaldo  4' (pen.), 44', 88'    Costa  24', 55' Nacho  58' "
2018,Portugal ,1–0, Morocco,  Ronaldo  4'    
2018,Iran ,0–1, Spain,     Costa  54' 
2018,Iran ,1–1, Portugal,  Ansarifard  90+3' (pen.)    Quaresma  45' 
2018,Spain ,2–2, Morocco,  Isco  19' Aspas  90+1'    Boutaïb  14' En-Nesyri  81' 
2018,France ,2–1, Australia,  Griezmann  58' (pen.) Behich  81' (o.g.)    Jedinak  62' (pen.) 
2018,Peru ,0–1, Denmark,     Poulsen  59' 
2018,Denmark ,1–1, Australia,  Eriksen  7'    Jedinak  38' (pen.) 
2018,France ,1–0, Peru,  Mbappé  34'    
2018,Denmark ,0–0, France,     
2018,Australia ,0–2, Peru,     Carrillo  18' Guerrero  50' 
2018,Argentina ,1–1, Iceland,  Agüero  19'    Finnbogason  23' 
2018,Croatia ,2–0, Nigeria,  Etebo  32' (o.g.) Modrić  71' (pen.)    
2018,Argentina ,0–3, Croatia,     Rebić  53' Modrić  80' Rakitić  90+1' 
2018,Nigeria ,2–0, Iceland,"  Musa  49', 75'    "
2018,Nigeria ,1–2, Argentina,  Moses  51' (pen.)    Messi  14' Rojo  86' 
2018,Iceland ,1–2, Croatia,  Sigurðsson  76' (pen.)    Badelj  53' Perišić  90' 
2018,Costa Rica ,0–1, Serbia,     Kolarov  56' 
2018,Brazil ,1–1, Switzerland,  Coutinho  20'    Zuber  50' 
2018,Brazil ,2–0, Costa Rica,  Coutinho  90+1' Neymar  90+7'    
2018,Serbia ,1–2, Switzerland,  Mitrović  5'    Xhaka  52' Shaqiri  90' 
2018,Serbia ,0–2, Brazil,     Paulinho  36' Thiago Silva  68' 
2018,Switzerland ,2–2, Costa Rica,  Džemaili  31' Drmić  88'    Waston  56' Sommer  90+3' (o.g.) 
2018,Germany ,0–1, Mexico,     Lozano  35' 
2018,Sweden ,1–0, South Korea,  Granqvist  65' (pen.)    
2018,South Korea ,1–2, Mexico,  Son Heung-min  90+3'    Vela  26' (pen.) Hernández  66' 
2018,Germany ,2–1, Sweden,  Reus  48' Kroos  90+5'    Toivonen  32' 
2018,South Korea ,2–0, Germany,  Kim Young-gwon  90+4' Son Heung-min  90+6'    
2018,Mexico ,0–3, Sweden,     Augustinsson  50' Granqvist  62' (pen.) Álvarez  74' (o.g.) 
2018,Belgium ,3–0, Panama,"  Mertens  47' Lukaku  69', 75'    "
2018,Tunisia ,1–2, England,"  Sassi  35' (pen.)    Kane  11', 90+1' "
2018,Belgium ,5–2, Tunisia,"  E. Hazard  6' (pen.), 51' Lukaku  16', 45+3' Batshuayi  90'    Bronn  18' Khazri  90+3' "
2018,England ,6–1, Panama,"  Stones  8', 40' Kane  22' (pen.), 45+1' (pen.), 62' Lingard  36'    Baloy  78' "
2018,England ,0–1, Belgium,     Januzaj  51' 
2018,Panama ,1–2, Tunisia,  Meriah  33' (o.g.)    F. Ben Youssef  51' Khazri  66' 
2018,Colombia ,1–2, Japan,  Quintero  39'    Kagawa  6' (pen.) Osako  73' 
2018,Poland ,1–2, Senegal,  Krychowiak  86'    Cionek  37' (o.g.) Niang  60' 
2018,Japan ,2–2, Senegal,  Inui  34' Honda  78'    Mané  11' Wagué  71' 
2018,Poland ,0–3, Colombia,     Mina  40' Falcao  70' Ju. Cuadrado  75' 
2018,Japan ,0–1, Poland,     Bednarek  59' 
2018,Senegal ,0–1, Colombia,     Mina  74' 
2018,France ,4–3, Argentina,"  Griezmann  13' (pen.) Pavard  57' Mbappé  64', 68'    Di María  41' Mercado  48' Agüero  90+3' "
2018,Uruguay ,2–1, Portugal,"  Cavani  7', 62'    Pepe  55' "
2018,Spain ,1–1 (a.e.t.), Russia,  Ignashevich  12' (o.g.)    Dzyuba  41' (pen.) 
2018,Croatia ,1–1 (a.e.t.), Denmark,  Mandžukić  4'    M. Jørgensen  1' 
2018,Brazil ,2–0, Mexico,  Neymar  51' Firmino  88'    
2018,Belgium ,3–2, Japan,  Vertonghen  69' Fellaini  74' Chadli  90+4'    Haraguchi  48' Inui  52' 
2018,Sweden ,1–0, Switzerland,  Forsberg  66'    
2018,Colombia ,1–1 (a.e.t.), England,  Mina  90+3'    Kane  57' (pen.) 
2018,Uruguay ,0–2, France,     Varane  40' Griezmann  61' 
2018,Brazil ,1–2, Belgium,  Renato Augusto  76'    Fernandinho  13' (o.g.) De Bruyne  31' 
2018,Sweden ,0–2, England,     Maguire  30' Alli  59' 
2018,Russia ,2–2 (a.e.t.), Croatia,  Cheryshev  31' Fernandes  115'    Kramarić  39' Vida  101' 
2018,France ,1–0, Belgium,  Umtiti  51'    
2018,Croatia ,2–1 (a.e.t.), England,  Perišić  68' Mandžukić  109'    Trippier  5' 
2018,Belgium ,2–0, England,  Meunier  4' E. Hazard  82'    
2018,France ,4–2, Croatia,  Mandžukić  18' (o.g.) Griezmann  38' (pen.) Pogba  59' Mbappé  65'    Perišić  28' Mandžukić  69' 
2022,Qatar ,0–2, Ecuador,"     Valencia  16' (pen.), 31' "
2022,Senegal ,0–2, Netherlands,     Gakpo  84' Klaassen  90+9' 
2022,Qatar ,1–3, Senegal,  Muntari  78'    Dia  41' Diédhiou  48' B. Dieng  84' 
2022,Netherlands ,1–1, Ecuador,  Gakpo  6'    Valencia  49' 
2022,Ecuador ,1–2, Senegal,  Caicedo  67'    I. Sarr  44' (pen.) Koulibaly  70' 
2022,Netherlands ,2–0, Qatar,  Gakpo  26' F. de Jong  49'    
2022,England ,6–2, Iran,"  Bellingham  35' Saka  43', 62' Sterling  45+1' Rashford  71' Grealish  90'    Taremi  65', 90+13' (pen.) "
2022,United States ,1–1, Wales,  Weah  36'    Bale  82' (pen.) 
2022,Wales ,0–2, Iran,     Cheshmi  90+8' Rezaeian  90+11' 
2022,England ,0–0, United States,     
2022,Wales ,0–3, England,"     Rashford  50', 68' Foden  51' "
2022,Iran ,0–1, United States,     Pulisic  38' 
2022,Argentina ,1–2, Saudi Arabia,  Messi  10' (pen.)    Al-Shehri  48' S. Al-Dawsari  53' 
2022,Mexico ,0–0, Poland,     
2022,Poland ,2–0, Saudi Arabia,  Zieliński  39' Lewandowski  82'    
2022,Argentina ,2–0, Mexico,  Messi  64' Fernández  87'    
2022,Poland ,0–2, Argentina,     Mac Allister  46' Álvarez  67' 
2022,Saudi Arabia ,1–2, Mexico,  S. Al-Dawsari  90+5'    Martín  47' Chávez  52' 
2022,Denmark ,0–0, Tunisia,     
2022,France ,4–1, Australia,"  Rabiot  27' Giroud  32', 71' Mbappé  68'    Goodwin  9' "
2022,Tunisia ,0–1, Australia,     Duke  23' 
2022,France ,2–1, Denmark,"  Mbappé  61', 86'    A. Christensen  68' "
2022,Australia ,1–0, Denmark,  Leckie  60'    
2022,Tunisia ,1–0, France,  Khazri  58'    
2022,Germany ,1–2, Japan,  Gündoğan  33' (pen.)    Dōan  75' Asano  83' 
2022,Spain ,7–0, Costa Rica,"  Olmo  11' Asensio  21' F. Torres  31' (pen.), 54' Gavi  74' Soler  90' Morata  90+2'    "
2022,Japan ,0–1, Costa Rica,     Fuller  81' 
2022,Spain ,1–1, Germany,  Morata  62'    Füllkrug  83' 
2022,Japan ,2–1, Spain,  Dōan  48' Tanaka  51'    Morata  11' 
2022,Costa Rica ,2–4, Germany,"  Tejeda  58' Vargas  70'    Gnabry  10' Havertz  73', 85' Füllkrug  89' "
2022,Morocco ,0–0, Croatia,     
2022,Belgium ,1–0, Canada,  Batshuayi  44'    
2022,Belgium ,0–2, Morocco,     Saïss  73' Aboukhlal  90+2' 
