Year,Winner,Score,Loser,Goals
1930,France ,4–1, Mexico," L. Laurent  19'Langiller  40'Maschinot  43', 87'   Carreño  70' "
1930,Argentina ,1–0, France, Monti  81'    
1930,Chile ,3–0, Mexico," Vidal  3', 65'M. Rosas  52' (o.g.)    "
1930,Chile ,1–0, France, Subiabre  67'    
1930,Argentina ,6–3, Mexico," Stábile  8', 17', 80'Zumelzú  12', 55'Varallo  53'   M. Rosas  42' (pen.), 65'Gayón  75' "
1930,Argentina ,3–1, Chile," Stábile  12', 13'M. Evaristo  51'   Subiabre  15' "
1930,Yugoslavia ,2–1, Brazil, Tirnanić  21'Bek  30'   Preguinho  62' 
1930,Yugoslavia ,4–0, Bolivia," Bek  60', 67'Marjanović  65'Vujadinović  85'    "
1930,Brazil ,4–0, Bolivia," Moderato  37', 73'Preguinho  57', 83'    "
1930,Romania ,3–1, Peru, Deşu  1'Stanciu  79'Kovács  89'   De Souza  75' 
1930,Uruguay ,1–0, Peru, Castro  65'    
1930,Uruguay ,4–0, Romania, Dorado  7'Scarone  26'Anselmo  31'Cea  35'    
1930,United States ,3–0, Belgium, McGhee  23'Florie  45'Patenaude  69'    
1930,United States ,3–0, Paraguay," Patenaude  10', 15', 50'    "
1930,Paraguay ,1–0, Belgium, Vargas Peña  40'    
1930,Argentina ,6–1, United States," Monti  20'Scopelli  56'Stábile  69', 87'Peucelle  80', 85'   Brown  89' "
1930,Uruguay ,6–1, Yugoslavia," Cea  18', 67', 72'Anselmo  20', 31'Iriarte  61'   Vujadinović  4' "
1930,Uruguay ,4–2, Argentina, Dorado  12'Cea  57'Iriarte  68'Castro  89'   Peucelle  20'Stábile  37' 
1934,Spain ,3–1, Brazil," Iraragorri  18' (pen.), 25'Lángara  29'   Leônidas  55' "
1934,Hungary ,4–2, Egypt," Teleki  11'Toldi  31', 61'Vincze  53'   Fawzi  35', 39' "
1934,Switzerland ,3–2, Netherlands," Kielholz  7', 43'Abegglen  66'   Smit  29'Vente  69' "
1934,Italy ,7–1, United States," Schiavio  18', 29', 64'Orsi  20', 69'Ferrari  63'Meazza  90'   Donelli  57' "
1934,Czechoslovakia ,2–1, Romania, Puč  50'Nejedlý  67'   Dobay  11' 
1934,Sweden ,3–2, Argentina," Jonasson  9', 67'Kroon  79'   Belis  4'Galateo  48' "
1934,Austria ,3–2 (a.e.t.), France, Sindelar  44'Schall  93'Bican  109'   Nicolas  18'Verriest  116' (pen.) 
1934,Germany ,5–2, Belgium," Kobierski  25'Siffling  49'Conen  66', 70', 87'   Voorhoof  29', 43' "
1934,Austria ,2–1, Hungary, Horvath  8'Zischek  51'   Sárosi  60' (pen.) 
1934,Italy ,1–1 (a.e.t.), Spain, Ferrari  44'   Regueiro  30' 
1934,Germany ,2–1, Sweden," Hohmann  60', 63'   Dunker  82' "
1934,Czechoslovakia ,3–2, Switzerland, Svoboda  24'Sobotka  49'Nejedlý  82'   Kielholz  18'Jäggi  78' 
1934,Italy ,1–0, Spain, Meazza  11'    
1934,Italy ,1–0, Austria, Guaita  19'    
1934,Czechoslovakia ,3–1, Germany," Nejedlý  21', 69', 80'   Noack  62' "
1934,Germany ,3–2, Austria," Lehner  1', 42'Conen  27'   Horvath  28'Sesta  54' "
1934,Italy ,2–1 (a.e.t.), Czechoslovakia, Orsi  81'Schiavio  95'   Puč  71' 
1938,Switzerland ,1–1 (a.e.t.), Germany, Abegglen  43'   Gauchel  29' 
1938,Hungary ,6–0, Dutch East Indies," Kohut  13'Toldi  15'Sárosi  28', 89'Zsengellér  35', 76'    "
1938,Sweden ,w/o[a], Austria,    
1938,Cuba ,3–3 (a.e.t.), Romania," Socorro  44', 103'Magriñá  69'   Bindea  35'Barátky  88'Dobay  105' "
